Date,CAT,TSLA
2017-09-01,115.73951,355.399994
2017-09-05,115.759087,349.589996
2017-09-06,114.46743,344.529999
2017-09-07,115.240456,350.609985
2017-09-08,115.289391,343.399994
2017-09-11,116.316841,363.690002
2017-09-12,118.342377,362.75
2017-09-13,117.060509,366.230011
2017-09-14,117.892258,377.640015
2017-09-15,118.763138,379.809998
2017-09-18,121.170303,385
2017-09-19,122.06076,375.100006
2017-09-20,122.168388,373.910004
2017-09-21,122.109688,366.480011
2017-09-22,121.757408,351.089996
2017-09-25,121.649773,344.98999
2017-09-26,121.835701,345.25
2017-09-27,121.845474,340.970001
2017-09-28,122.540237,339.600006
2017-09-29,122.031403,341.100006
2017-10-02,122.041191,341.529999
2017-10-03,122.814224,348.140015
2017-10-04,124.017792,355.01001
2017-10-05,123.685104,355.329987
2017-10-06,124.203728,356.880005
2017-10-09,124.154785,342.940002
2017-10-10,125.436661,355.589996
2017-10-11,125.83786,354.600006
2017-10-12,127.198006,355.679993
2017-10-13,127.902527,355.570007
2017-10-16,128.64621,350.600006
2017-10-17,127.73616,355.75
2017-10-18,128.470078,359.649994
2017-10-19,128.724487,351.809998
2017-10-20,129.305252,345.100006
2017-10-23,129.620239,337.019989
2017-10-24,136.077652,337.339996
2017-10-25,134.699539,325.839996
2017-10-26,134.797974,326.170013
2017-10-27,135.654358,320.869995
2017-10-30,134.355026,320.079987
2017-10-31,133.675812,331.529999
2017-11-01,134.158127,321.079987
2017-11-02,134.335327,299.26001
2017-11-03,134.492844,306.089996
2017-11-06,135.555923,302.779999
2017-11-07,136.638718,306.049988
2017-11-08,135.142487,304.390015
2017-11-09,133.222992,302.98999
2017-11-10,134.345169,302.98999
2017-11-13,134.394379,315.399994
2017-11-14,135.388596,308.700012
2017-11-15,132.002396,311.299988
2017-11-16,134.227036,312.5
2017-11-17,134.000641,315.049988
2017-11-20,134.768448,308.73999
2017-11-21,135.447662,317.809998
2017-11-22,135.851242,312.600006
2017-11-24,135.240936,315.549988
2017-11-27,135.044067,316.809998
2017-11-28,136.815918,317.549988
2017-11-29,135.900452,307.540009
2017-11-30,138.942123,308.850006
2017-12-01,139.306335,306.529999
2017-12-04,139.286652,305.200012
2017-12-05,137.947906,303.700012
2017-12-06,138.144791,313.26001
2017-12-07,140.654892,311.23999
2017-12-08,141.609741,315.130005
2017-12-11,141.521149,328.910004
2017-12-12,141.176605,341.029999
2017-12-13,146.246078,339.029999
2017-12-14,143.991882,337.890015
2017-12-15,144.395462,343.450012
2017-12-18,147.427292,338.869995
2017-12-19,148.549454,331.100006
2017-12-20,150.134277,328.980011
2017-12-21,152.221115,331.660004
2017-12-22,153.313751,325.200012
2017-12-26,153.992966,317.290009
2017-12-27,155.056061,311.640015
2017-12-28,155.941986,315.359985
2017-12-29,155.115128,311.350006
2018-01-02,154.583557,320.529999
2018-01-03,154.819824,317.25
2018-01-04,156.94603,314.619995
2018-01-05,159.42662,316.579987
2018-01-08,163.432938,336.410004
2018-01-09,163.826675,333.690002
2018-01-10,163.275452,334.799988
2018-01-11,166.553375,337.950012
2018-01-12,167.636139,336.220001
2018-01-16,166.661636,340.059998
2018-01-17,165.864304,347.160004
2018-01-18,166.189148,344.570007
2018-01-19,168.52301,350.019989
2018-01-22,168.997696,351.559998
2018-01-23,167.553864,352.790009
2018-01-24,166.475937,345.890015
2018-01-25,167.494522,337.640015
2018-01-26,165.210098,342.850006
2018-01-29,160.779724,349.529999
2018-01-30,161.946655,345.820007
2018-01-31,160.977493,354.309998
2018-02-01,160.443497,349.25
2018-02-02,155.746078,343.75
2018-02-05,149.407074,333.130005
2018-02-06,154.67804,333.970001
2018-02-07,152.630951,345
2018-02-08,144.373428,315.230011
2018-02-09,147.55777,310.420013
2018-02-12,150.603653,315.730011
2018-02-13,152.26506,323.660004
2018-02-14,156.309769,322.309998
2018-02-15,158.208511,334.070007
2018-02-16,154.559357,335.48999
2018-02-20,153.837448,334.769989
2018-02-21,153.511093,333.299988
2018-02-22,157.100906,346.170013
2018-02-23,160.611603,352.049988
2018-02-26,161.877441,357.420013
2018-02-27,159.474319,350.98999
2018-02-28,152.917755,343.059998
2018-03-01,148.566467,330.929993
2018-03-02,144.759109,335.119995
2018-03-05,149.446609,333.350006
2018-03-06,152.047501,328.200012
2018-03-07,149.832291,332.299988
2018-03-08,151.889252,329.100006
2018-03-09,156.497665,327.170013
2018-03-12,152.789185,345.51001
2018-03-13,151.988159,341.839996
2018-03-14,150.850876,326.630005
2018-03-15,152.858429,325.600006
2018-03-16,154.727493,321.350006
2018-03-19,150.465195,313.559998
2018-03-20,152.35405,310.549988
2018-03-21,154.074799,316.529999
2018-03-22,145.273346,309.100006
2018-03-23,142.692245,301.540009
2018-03-26,147.537994,304.179993
2018-03-27,145.36235,279.179993
2018-03-28,143.552612,257.779999
2018-03-29,145.748032,266.130005
2018-04-02,142.296677,252.479996
2018-04-03,143.45372,267.529999
2018-04-04,143.572388,286.940002
2018-04-05,146.489731,305.720001
2018-04-06,141.406647,299.299988
2018-04-09,141.495651,289.660004
2018-04-10,146.450165,304.700012
2018-04-11,145.164551,300.929993
2018-04-12,148.477463,294.079987
2018-04-13,148.566467,300.339996
2018-04-16,150.455322,291.209991
2018-04-17,151.61235,287.690002
2018-04-18,154.223129,293.350006
2018-04-19,153.975906,300.079987
2018-04-20,152.316086,290.23999
2018-04-23,153.051575,283.369995
2018-04-24,143.559769,283.459991
2018-04-25,144.305206,280.690002
2018-04-26,145.418365,285.480011
2018-04-27,143.838058,294.079987
2018-04-30,143.480255,293.899994
2018-05-01,143.539886,299.920013
2018-05-02,142.983307,301.149994
2018-05-03,142.903793,284.450012
2018-05-04,145.477997,294.089996
2018-05-07,148.906982,302.769989
2018-05-08,149.016312,301.970001
2018-05-09,151.679977,306.850006
2018-05-10,153.031693,305.019989
2018-05-11,153.916275,301.059998
2018-05-14,154.33371,291.970001
2018-05-15,151.660095,284.179993
2018-05-16,152.862732,286.480011
2018-05-17,152.753403,284.540009
2018-05-18,154.761093,276.820007
2018-05-21,157.951523,284.48999
2018-05-22,155.248093,275.01001
2018-05-23,156.778717,279.070007
2018-05-24,156.738953,277.850006
2018-05-25,154.900238,278.850006
2018-05-29,152.683823,283.76001
2018-05-30,154.512619,291.720001
2018-05-31,150.984253,284.730011
2018-06-01,152.584442,291.820007
2018-06-04,151.570648,296.73999
2018-06-05,152.07753,291.130005
2018-06-06,155.556213,319.5
2018-06-07,155.33754,316.089996
2018-06-08,154.373474,317.660004
2018-06-11,155.347488,332.100006
2018-06-12,156.530243,342.769989
2018-06-13,153.767181,344.779999
2018-06-14,152.206757,357.720001
2018-06-15,149.105774,358.170013
2018-06-18,147.773926,370.829987
2018-06-19,142.426712,352.549988
2018-06-20,142.257751,362.220001
2018-06-21,138.679688,347.51001
2018-06-22,139.087189,333.630005
2018-06-25,135.747665,333.01001
2018-06-26,134.714005,342
2018-06-27,133.789673,344.5
2018-06-28,135.201019,349.929993
2018-06-29,134.843216,342.950012
2018-07-02,135.459427,335.070007
2018-07-03,133.014435,310.859985
2018-07-05,134.982361,309.160004
2018-07-06,134.584808,308.899994
2018-07-09,140.110916,318.51001
2018-07-10,140.389206,322.470001
2018-07-11,135.926559,318.959991
2018-07-12,138.570358,316.709991
2018-07-13,139.892258,318.869995
2018-07-16,137.238525,310.100006
2018-07-17,138.103226,322.690002
2018-07-18,140.259995,323.850006
2018-07-19,139.419998,320.230011
2018-07-20,136.820007,313.579987
2018-07-23,136.279999,303.200012
2018-07-24,137.970001,297.429993
2018-07-25,140.479996,308.73999
