Date,Boeing,McDonalds,Nike,Walmart
2016-09-01,122.620171,109.547089,56.931141,69.24115
2016-09-02,123.809555,109.955292,56.580074,68.917953
2016-09-06,125.53701,111.303261,55.985214,69.39325
2016-09-07,125.206596,110.989998,56.287514,68.499695
2016-09-08,125.452034,110.278038,54.775982,68.281052
2016-09-09,121.32695,108.768684,53.956833,66.826645
2016-09-12,122.82785,110.069191,54.619953,68.38562
2016-09-13,121.544052,108.911079,53.995838,67.929329
2016-09-14,120.515144,109.338249,53.761795,67.986374
2016-09-15,120.609528,110.24955,54.093361,68.822899
2016-09-16,119.59951,109.433174,53.810555,69.269676
2016-09-19,120.335785,109.366722,53.586269,68.528198
2016-09-20,120.628418,110.543846,53.508247,68.414139
2016-09-21,123.243187,110.999496,53.966587,68.623276
2016-09-22,124.479767,111.407684,54.034851,68.69931
2016-09-23,124.394814,111.227303,53.781303,68.775375
2016-09-26,123.252632,110.619774,53.049915,68.081436
2016-09-27,123.960587,110.952026,53.966587,68.756355
2016-09-28,124.819595,109.338249,51.928455,68.243027
2016-09-29,123.686844,108.968025,50.865505,67.235413
2016-09-30,124.357063,109.509125,51.343346,68.55674
2016-10-03,124.961197,108.825623,51.36285,68.452156
2016-10-04,124.838478,107.743454,50.845997,68.205009
2016-10-05,127.113419,107.65802,50.8265,68.12896
2016-10-06,126.886848,108.142159,50.738728,65.933098
2016-10-07,126.348816,107.695992,50.504692,65.305687
2016-10-10,128.227264,108.89209,50.504692,64.621277
2016-10-11,126.244987,107.914322,50.533939,64.060425
2016-10-12,125.697464,108.89209,51.138557,64.126976
2016-10-13,125.905167,109.556572,50.738728,64.858917
2016-10-14,126.018417,108.303535,50.338905,65.068047
2016-10-17,126.490387,106.708755,49.763554,64.849403
2016-10-18,127.528778,105.607574,49.948833,65.467308
2016-10-19,128.548203,105.617065,50.514442,65.48632
2016-10-20,128.227264,104.962067,50.602203,65.334213
2016-10-21,128.029068,108.151649,50.485184,64.963501
2016-10-24,129.74707,107.809906,50.582703,65.771492
2016-10-25,131.229095,107.003029,49.783054,65.933098
2016-10-26,137.383667,106.42395,50.680214,66.151726
2016-10-27,135.278656,106.395477,50.602203,66.379875
2016-10-28,134.995453,106.414459,50.728981,66.53196
2016-10-31,134.447952,106.860626,48.934647,66.560478
2016-11-01,134.429108,106.556854,48.388538,65.87606
2016-11-02,132.862106,106.689758,48.486061,66.018646
2016-11-03,132.173035,106.053749,48.495811,66.189751
2016-11-04,131.719925,105.408226,48.7201,65.742973
2016-11-07,135.014313,107.097946,49.64653,66.332344
2016-11-08,135.261658,108.322525,49.812313,66.34185
2016-11-09,139.076691,109.148392,49.851311,67.587112
2016-11-10,141.568954,108.70224,49.139431,67.862801
2016-11-11,142.364563,108.426949,49.510006,67.710709
2016-11-14,143.773621,111.882317,48.963902,67.007256
2016-11-15,141.971542,112.318993,48.885887,67.891319
2016-11-16,140.370758,113.163849,49.422237,67.862801
2016-11-17,139.306763,113.391678,50.30965,65.771492
2016-11-18,140.284485,113.91378,49.831814,65.153603
2016-11-21,140.926712,113.439148,50.007343,65.942596
2016-11-22,143.323105,113.619514,50.426674,66.655533
2016-11-23,143.533981,114.046684,50.065853,67.330475
2016-11-25,143.821548,114.540321,50.24139,67.710709
2016-11-28,143.562744,115.641472,49.744045,67.672676
2016-11-29,145.355225,115.45015,49.373478,67.843788
2016-11-30,144.319977,114.101242,48.827377,66.950233
2016-12-01,146.074158,113.33593,49.571194,67.178368
2016-12-02,145.939957,113.115875,49.385231,67.377983
2016-12-05,145.853699,114.120377,50.745632,66.484444
2016-12-06,145.930374,114.082115,49.492889,66.88369
2016-12-07,147.751633,114.723076,50.990303,67.592155
2016-12-08,148.949814,115.23011,50.452015,67.343231
2016-12-09,150.004242,116.005005,50.618397,67.094322
2016-12-12,150.646484,116.464211,50.442234,68.61657
2016-12-13,150.167191,117.363464,51.186043,68.741043
2016-12-14,148.067947,117.516525,50.686905,68.300629
2016-12-15,147.396957,117.057343,50.197556,68.051704
2016-12-16,148.096695,117.8992,49.835438,67.955963
2016-12-19,149.707077,117.660042,49.76693,68.530403
2016-12-20,149.908371,117.985306,50.686905,68.760185
2016-12-21,150.953171,117.841805,51.186043,68.204895
2016-12-22,150.934036,118.358406,51.029449,66.625183
2016-12-23,151.269516,117.803543,50.804356,66.577324
2016-12-27,150.953171,117.73658,50.197556,66.730499
2016-12-28,149.630402,117.363464,49.933304,66.357109
2016-12-29,149.237381,117.468704,49.972454,66.30925
2016-12-30,149.227783,116.445076,49.747356,66.175209
2017-01-03,150.46434,114.436089,50.87286,65.734802
2017-01-04,152.045929,114.302147,51.939644,66.11776
2017-01-05,152.132233,114.512611,51.929859,66.261375
2017-01-06,152.506058,115.526672,52.761749,65.351852
2017-01-09,151.758377,115.210976,52.243042,65.782692
2017-01-10,152.47728,115.038788,51.978798,65.32312
2017-01-11,152.79361,115.641472,51.567734,65.610352
2017-01-12,151.72963,116.808609,51.283913,65.074203
2017-01-13,152.247223,116.234612,51.792831,64.269989
2017-01-17,151.135315,117.430443,52.507294,65.505035
2017-01-18,151.758377,117.392166,52.135387,65.208244
2017-01-19,152.410187,116.885147,51.802624,64.739128
2017-01-20,152.918213,116.96167,52.066875,64.317871
2017-01-23,151.298279,116.119797,52.10603,63.810448
2017-01-24,153.89595,115.804108,52.31155,64.528488
2017-01-25,160.423721,116.512047,52.712811,64.040207
2017-01-26,162.110764,116.598145,52.507294,63.887043
2017-01-27,160.749603,117.535675,52.057083,62.862621
2017-01-30,158.707901,117.688736,51.949432,63.59024
2017-01-31,156.647003,117.25824,51.773266,63.89661
2017-02-01,157.174225,117.114746,51.890713,63.408337
2017-02-02,155.535095,117.880066,51.675396,63.858307
2017-02-03,155.669281,118.855865,51.24477,63.666836
2017-02-06,157.183807,119.05677,51.675396,63.571098
2017-02-07,159.59935,119.190697,51.685181,64.040207
2017-02-08,158.371521,119.267227,52.732391,64.921021
2017-02-09,158.825928,119.085472,54.131939,66.136917
2017-02-10,160.711166,120.367401,55.022556,65.12207
2017-02-13,162.451416,120.099533,54.895317,64.882721
2017-02-14,162.905807,120.357834,55.247654,65.734802
2017-02-15,163.67926,120.99881,55.433605,65.763535
2017-02-16,165.13913,121.209267,55.091057,65.935867
2017-02-17,166.976059,122.261597,55.541264,66.414558
2017-02-21,169.73143,122.49118,56.138268,68.405937
2017-02-22,169.538055,122.309418,56.999527,68.654861
2017-02-23,170.988251,122.711235,56.167633,68.271904
2017-02-24,171.548996,123.074745,56.627621,69.305893
2017-02-27,173.472931,122.380882,56.461239,68.683586
2017-02-28,174.246353,123.016937,55.942528,67.908096
2017-03-01,177.804199,124.366119,56.715706,67.448547
2017-03-02,176.914749,123.575882,56.745155,67.745338
2017-03-03,176.131638,123.257866,55.66523,67.04644
2017-03-06,174.923126,123.383133,55.733952,66.902832
2017-03-07,175.976959,123.421692,55.517967,66.893257
2017-03-08,175.706253,123.440964,55.478691,67.317604
2017-03-09,174.575089,123.489136,55.331436,67.375473
2017-03-10,172.767166,123.334946,55.400158,67.606949
2017-03-13,173.10556,122.978371,55.635773,67.462273
2017-03-14,172.796188,123.161491,56.234642,68.204887
2017-03-15,172.77684,123.238579,56.607712,68.069862
2017-03-16,172.274094,123.334946,56.548805,67.934845
2017-03-17,174.120697,123.970985,56.745155,67.404411
2017-03-20,173.43425,124.105919,57.609093,67.491219
2017-03-21,170.118164,123.855354,56.951317,67.414055
2017-03-22,171.104279,124.414299,52.935963,67.75161
2017-03-23,171.374985,124.317924,54.359501,67.375473
2017-03-24,169.982803,124.645576,55.331436,67.134354
